image:0.jpg, predicted:60.00, true:23.19
image:1.jpg, predicted:25.00, true:17.43
image:10.jpg, predicted:60.87, true:45.92
image:100.jpg, predicted:65.00, true:53.16
image:101.jpg, predicted:90.00, true:73.97
image:102.jpg, predicted:76.00, true:65.36
image:103.jpg, predicted:64.00, true:76.82
image:104.jpg, predicted:90.00, true:91.67
image:105.jpg, predicted:84.00, true:69.23
image:106.jpg, predicted:72.00, true:65.33
image:107.jpg, predicted:70.00, true:71.05
image:109.jpg, predicted:90.00, true:78.20
image:11.jpg, predicted:60.00, true:30.85
image:110.jpg, predicted:64.00, true:78.81
image:111.jpg, predicted:90.00, true:76.06
image:112.jpg, predicted:75.00, true:56.40
image:113.jpg, predicted:65.00, true:66.08
image:114.jpg, predicted:46.00, true:41.80
image:115.jpg, predicted:60.00, true:50.00
image:116.jpg, predicted:46.00, true:37.10
image:117.jpg, predicted:54.00, true:31.55
image:118.jpg, predicted:46.00, true:30.46
image:119.jpg, predicted:57.50, true:34.94
image:12.jpg, predicted:72.00, true:46.05
image:120.jpg, predicted:46.00, true:27.91
image:121.jpg, predicted:38.33, true:25.15
image:122.jpg, predicted:56.00, true:35.35
image:123.jpg, predicted:80.00, true:70.72
image:124.jpg, predicted:76.00, true:53.63
image:125.jpg, predicted:75.00, true:62.05
image:126.jpg, predicted:75.00, true:52.21
image:127.jpg, predicted:60.00, true:43.33
image:128.jpg, predicted:75.00, true:58.94
image:129.jpg, predicted:60.00, true:36.06
image:13.jpg, predicted:54.00, true:34.64
image:130.jpg, predicted:56.67, true:34.58
image:131.jpg, predicted:85.71, true:70.43
image:132.jpg, predicted:68.00, true:35.65
image:133.jpg, predicted:40.00, true:23.53
image:134.jpg, predicted:40.00, true:25.17
image:135.jpg, predicted:32.00, true:31.78
image:136.jpg, predicted:46.00, true:35.77
image:137.jpg, predicted:25.00, true:16.26
image:138.jpg, predicted:36.00, true:20.45
image:139.jpg, predicted:38.00, true:23.55
image:14.jpg, predicted:57.50, true:39.53
image:140.jpg, predicted:68.00, true:57.96
image:141.jpg, predicted:54.00, true:66.48
image:142.jpg, predicted:47.00, true:67.52
image:143.jpg, predicted:76.00, true:61.81
image:144.jpg, predicted:45.00, true:58.06
image:145.jpg, predicted:58.00, true:50.00
image:146.jpg, predicted:45.00, true:51.89
image:147.jpg, predicted:45.00, true:44.40
image:148.jpg, predicted:58.00, true:70.41
image:149.jpg, predicted:45.00, true:36.18
image:15.jpg, predicted:45.00, true:46.04
image:150.jpg, predicted:54.00, true:43.96
image:151.jpg, predicted:46.00, true:37.04
image:152.jpg, predicted:40.00, true:38.73
image:153.jpg, predicted:48.00, true:34.33
image:154.jpg, predicted:46.00, true:33.61
image:155.jpg, predicted:40.00, true:31.97
image:156.jpg, predicted:40.00, true:32.63
image:157.jpg, predicted:54.00, true:51.16
image:158.jpg, predicted:57.50, true:57.14
image:159.jpg, predicted:64.29, true:57.34
image:16.jpg, predicted:70.00, true:46.40
image:160.jpg, predicted:45.00, true:66.03
image:161.jpg, predicted:32.00, true:26.19
image:162.jpg, predicted:45.00, true:61.60
image:163.jpg, predicted:90.00, true:87.27
image:164.jpg, predicted:28.57, true:14.63
image:165.jpg, predicted:28.57, true:24.00
image:166.jpg, predicted:21.74, true:15.79
image:167.jpg, predicted:14.00, true:8.79
image:168.jpg, predicted:20.00, true:13.92
image:169.jpg, predicted:12.00, true:7.25
image:17.jpg, predicted:57.50, true:33.06
image:170.jpg, predicted:64.29, true:28.17
image:171.jpg, predicted:60.00, true:26.15
image:172.jpg, predicted:28.00, true:19.54
image:173.jpg, predicted:56.00, true:28.77
image:174.jpg, predicted:40.00, true:26.13
image:175.jpg, predicted:18.00, true:13.33
image:176.jpg, predicted:38.00, true:21.40
image:177.jpg, predicted:65.71, true:31.93
image:178.jpg, predicted:56.00, true:28.21
image:179.jpg, predicted:56.00, true:21.80
image:18.jpg, predicted:72.00, true:79.76
image:180.jpg, predicted:46.00, true:25.90
image:181.jpg, predicted:57.50, true:27.01
image:182.jpg, predicted:38.33, true:15.98
image:183.jpg, predicted:30.00, true:18.04
image:184.jpg, predicted:28.00, true:16.95
image:185.jpg, predicted:23.00, true:11.69
image:186.jpg, predicted:77.50, true:78.45
image:187.jpg, predicted:34.00, true:19.35
image:188.jpg, predicted:34.00, true:30.32
image:189.jpg, predicted:60.00, true:26.77
image:19.jpg, predicted:65.71, true:75.32
image:190.jpg, predicted:42.86, true:32.38
image:191.jpg, predicted:57.50, true:33.12
image:192.jpg, predicted:72.00, true:45.54
image:193.jpg, predicted:57.50, true:26.17
image:194.jpg, predicted:56.67, true:25.47
image:195.jpg, predicted:45.00, true:21.50
image:196.jpg, predicted:52.00, true:26.61
image:197.jpg, predicted:46.67, true:28.81
image:198.jpg, predicted:60.00, true:52.59
image:199.jpg, predicted:40.00, true:20.74
image:2.jpg, predicted:72.00, true:70.97
image:20.jpg, predicted:70.00, true:59.63
image:200.jpg, predicted:32.86, true:17.19
image:201.jpg, predicted:46.67, true:23.73
image:202.jpg, predicted:35.00, true:13.93
image:203.jpg, predicted:60.00, true:23.38
image:204.jpg, predicted:85.00, true:70.97
image:205.jpg, predicted:100.00, true:70.21
image:206.jpg, predicted:46.00, true:17.63
image:207.jpg, predicted:68.00, true:36.00
image:208.jpg, predicted:100.00, true:73.78
image:209.jpg, predicted:85.00, true:82.39
image:21.jpg, predicted:46.67, true:24.39
image:210.jpg, predicted:58.00, true:42.61
image:211.jpg, predicted:56.67, true:48.33
image:212.jpg, predicted:45.00, true:48.15
image:213.jpg, predicted:67.14, true:63.50
image:214.jpg, predicted:67.14, true:58.28
image:215.jpg, predicted:46.00, true:24.84
image:216.jpg, predicted:32.86, true:18.90
image:217.jpg, predicted:48.57, true:30.41
image:218.jpg, predicted:56.25, true:26.61
image:219.jpg, predicted:60.00, true:36.00
image:22.jpg, predicted:85.00, true:52.05
image:220.jpg, predicted:72.00, true:45.24
image:221.jpg, predicted:65.71, true:45.63
image:222.jpg, predicted:40.00, true:23.08
image:223.jpg, predicted:85.00, true:85.35
image:224.jpg, predicted:85.00, true:81.86
image:225.jpg, predicted:94.44, true:80.61
image:226.jpg, predicted:90.91, true:75.74
image:227.jpg, predicted:83.33, true:73.60
image:228.jpg, predicted:90.00, true:39.81
image:229.jpg, predicted:45.00, true:21.84
image:23.jpg, predicted:28.00, true:12.99
image:230.jpg, predicted:45.00, true:46.10
image:231.jpg, predicted:45.00, true:49.12
image:232.jpg, predicted:56.00, true:44.38
image:233.jpg, predicted:56.00, true:44.76
image:234.jpg, predicted:68.57, true:49.68
image:235.jpg, predicted:63.33, true:60.80
image:236.jpg, predicted:70.00, true:31.76
image:237.jpg, predicted:46.00, true:29.00
image:238.jpg, predicted:63.33, true:45.28
image:239.jpg, predicted:70.00, true:37.65
image:24.jpg, predicted:56.00, true:38.19
image:240.jpg, predicted:30.00, true:15.00
image:241.jpg, predicted:46.00, true:21.95
image:242.jpg, predicted:90.00, true:56.82
image:243.jpg, predicted:75.00, true:70.55
image:244.jpg, predicted:85.00, true:61.61
image:245.jpg, predicted:45.00, true:20.85
image:246.jpg, predicted:45.00, true:34.21
image:247.jpg, predicted:68.00, true:42.08
image:248.jpg, predicted:38.33, true:34.40
image:249.jpg, predicted:46.67, true:37.68
image:25.jpg, predicted:60.00, true:46.43
image:250.jpg, predicted:40.00, true:28.79
image:251.jpg, predicted:56.00, true:36.24
image:252.jpg, predicted:56.00, true:36.43
