image,predicted,true
0.jpg,33.33,23.19
1.jpg,32.00,17.43
10.jpg,41.56,45.92
100.jpg,59.00,53.16
101.jpg,92.19,73.97
102.jpg,78.00,65.36
103.jpg,78.00,76.82
104.jpg,84.29,91.67
105.jpg,78.00,69.23
106.jpg,69.49,65.33
107.jpg,70.53,71.05
109.jpg,78.00,78.20
11.jpg,58.21,30.85
110.jpg,78.00,78.81
112.jpg,78.00,56.40
113.jpg,78.67,66.08
114.jpg,41.46,41.80
115.jpg,67.00,50.00
116.jpg,39.00,37.10
117.jpg,51.54,31.55
118.jpg,47.27,30.46
119.jpg,42.86,34.94
12.jpg,55.71,46.05
120.jpg,40.00,27.91
121.jpg,30.71,25.15
122.jpg,46.21,35.35
123.jpg,78.00,70.72
124.jpg,52.00,53.63
126.jpg,62.40,52.21
127.jpg,52.00,43.33
128.jpg,78.00,58.94
129.jpg,52.00,36.06
13.jpg,51.32,34.64
130.jpg,52.00,34.58
131.jpg,87.01,70.43
132.jpg,52.00,35.65
133.jpg,33.33,23.53
134.jpg,39.00,25.17
135.jpg,46.21,31.78
136.jpg,39.00,35.77
137.jpg,28.00,16.26
138.jpg,22.54,20.45
139.jpg,32.50,23.55
14.jpg,51.54,39.53
140.jpg,51.30,57.96
141.jpg,59.00,66.48
142.jpg,59.00,67.52
143.jpg,59.09,61.81
144.jpg,61.42,58.06
145.jpg,52.00,50.00
146.jpg,52.00,51.89
147.jpg,50.65,44.40
148.jpg,59.00,70.41
149.jpg,50.65,36.18
15.jpg,52.00,46.04
150.jpg,52.00,43.96
151.jpg,52.00,37.04
152.jpg,37.14,38.73
153.jpg,31.11,34.33
154.jpg,40.00,33.61
155.jpg,42.86,31.97
156.jpg,31.11,32.63
157.jpg,51.54,51.16
158.jpg,78.00,57.14
159.jpg,52.00,57.34
16.jpg,78.00,46.40
161.jpg,50.00,26.19
162.jpg,52.00,61.60
163.jpg,87.00,87.27
164.jpg,26.00,14.63
165.jpg,20.00,24.00
166.jpg,14.29,15.79
167.jpg,14.29,8.79
168.jpg,21.37,13.92
169.jpg,20.74,7.25
17.jpg,50.00,33.06
170.jpg,52.00,28.17
171.jpg,40.00,26.15
172.jpg,32.50,19.54
173.jpg,51.54,28.77
174.jpg,52.00,26.13
175.jpg,30.00,13.33
176.jpg,37.50,21.40
177.jpg,51.54,31.93
178.jpg,78.00,28.21
179.jpg,46.21,21.80
18.jpg,70.53,79.76
180.jpg,47.00,25.90
181.jpg,51.54,27.01
182.jpg,30.23,15.98
183.jpg,26.00,18.04
184.jpg,24.38,16.95
185.jpg,26.00,11.69
186.jpg,75.64,78.45
187.jpg,26.00,19.35
188.jpg,50.65,30.32
189.jpg,26.67,26.77
19.jpg,70.53,75.32
190.jpg,31.11,32.38
191.jpg,32.10,33.12
192.jpg,73.58,45.54
193.jpg,30.95,26.17
194.jpg,51.32,25.47
195.jpg,52.00,21.50
196.jpg,50.65,26.61
197.jpg,51.54,28.81
198.jpg,55.71,52.59
199.jpg,37.14,20.74
2.jpg,70.53,70.97
20.jpg,78.00,59.63
200.jpg,27.86,17.19
201.jpg,32.50,23.73
202.jpg,30.71,13.93
203.jpg,48.00,23.38
204.jpg,83.50,70.97
205.jpg,84.29,70.21
206.jpg,38.29,17.63
207.jpg,52.00,36.00
21.jpg,45.35,24.39
210.jpg,52.00,42.61
211.jpg,52.00,48.33
212.jpg,51.54,48.15
213.jpg,59.00,63.50
214.jpg,65.00,58.28
215.jpg,38.29,24.84
216.jpg,26.00,18.90
217.jpg,46.21,30.41
218.jpg,36.36,26.61
219.jpg,51.54,36.00
22.jpg,78.00,52.05
220.jpg,46.21,45.24
221.jpg,77.61,45.63
222.jpg,31.11,23.08
223.jpg,91.76,85.35
224.jpg,87.56,81.86
225.jpg,85.64,80.61
226.jpg,84.67,75.74
227.jpg,82.52,73.60
229.jpg,51.32,21.84
23.jpg,26.17,12.99
230.jpg,52.00,46.10
231.jpg,52.00,49.12
232.jpg,53.33,44.38
233.jpg,51.54,44.76
234.jpg,55.71,49.68
235.jpg,52.00,60.80
236.jpg,52.00,31.76
237.jpg,37.22,29.00
238.jpg,52.00,45.28
239.jpg,55.71,37.65
24.jpg,51.54,38.19
240.jpg,24.84,15.00
241.jpg,37.14,21.95
242.jpg,52.00,56.82
243.jpg,75.00,70.55
244.jpg,59.00,61.61
245.jpg,43.33,20.85
246.jpg,52.00,34.21
247.jpg,52.00,42.08
248.jpg,51.32,34.40
249.jpg,46.21,37.68
25.jpg,58.21,46.43
250.jpg,47.27,28.79
251.jpg,34.00,36.24
252.jpg,46.21,36.43
253.jpg,59.00,46.79
254.jpg,52.00,45.84
255.jpg,51.54,44.72
256.jpg,59.00,55.84
257.jpg,52.00,72.87
258.jpg,65.00,73.47
259.jpg,52.00,40.16
26.jpg,38.29,28.05
260.jpg,37.14,38.82
262.jpg,21.37,16.83
263.jpg,19.18,14.74
264.jpg,26.41,14.15
265.jpg,18.92,15.83
266.jpg,20.59,12.84
267.jpg,20.29,16.98
268.jpg,26.00,18.52
269.jpg,33.33,23.86
27.jpg,45.35,33.33
270.jpg,20.29,15.12
271.jpg,23.93,11.58
272.jpg,40.00,29.11
273.jpg,46.21,26.05
274.jpg,40.00,33.33
275.jpg,46.21,27.78
276.jpg,21.37,10.22
277.jpg,11.11,7.24
278.jpg,13.04,5.38
279.jpg,20.74,14.29
28.jpg,78.00,61.29
280.jpg,28.00,16.82
281.jpg,25.00,21.37
282.jpg,26.41,25.00
283.jpg,21.37,6.82
284.jpg,27.86,28.35
285.jpg,20.29,12.32
286.jpg,22.07,24.78
287.jpg,40.00,23.87
288.jpg,52.00,47.32
289.jpg,27.86,25.69
29.jpg,10.00,5.15
290.jpg,30.71,20.63
291.jpg,18.67,11.71
292.jpg,20.59,13.59
293.jpg,33.33,32.67
294.jpg,9.84,11.02
295.jpg,14.29,10.09
296.jpg,29.09,18.35
297.jpg,20.59,13.76
298.jpg,33.33,27.93
299.jpg,21.37,12.41
3.jpg,87.01,82.05
30.jpg,78.00,48.80
300.jpg,16.67,10.89
301.jpg,21.37,9.42
302.jpg,20.29,15.89
303.jpg,33.33,17.14
304.jpg,18.75,12.60
305.jpg,51.30,53.75
306.jpg,52.00,46.77
307.jpg,55.70,45.96
308.jpg,59.00,41.00
309.jpg,21.05,11.57
31.jpg,52.00,39.43
310.jpg,26.00,11.21
311.jpg,61.42,38.55
312.jpg,48.00,36.75
313.jpg,52.00,47.52
314.jpg,47.27,33.12
315.jpg,33.33,24.83
316.jpg,40.00,24.40
317.jpg,30.00,29.63
318.jpg,33.33,19.83
319.jpg,46.46,35.76
32.jpg,52.00,33.69
320.jpg,14.29,11.54
321.jpg,30.00,24.29
322.jpg,35.33,27.66
323.jpg,30.00,21.13
324.jpg,20.00,19.19
325.jpg,37.14,32.14
326.jpg,40.00,36.99
327.jpg,51.54,40.72
328.jpg,52.00,46.31
329.jpg,52.00,36.90
33.jpg,52.00,29.11
330.jpg,51.54,34.69
331.jpg,51.54,42.96
332.jpg,26.00,13.71
333.jpg,20.29,21.59
334.jpg,20.74,8.26
335.jpg,18.00,12.07
336.jpg,42.86,34.21
337.jpg,33.33,34.72
338.jpg,44.09,62.50
339.jpg,67.43,54.65
34.jpg,46.21,31.62
340.jpg,78.00,71.14
341.jpg,0.90,0.85
342.jpg,10.00,3.39
343.jpg,6.09,4.50
344.jpg,14.89,12.00
345.jpg,11.00,9.85
346.jpg,14.29,10.58
347.jpg,13.04,8.50
348.jpg,20.29,9.91
349.jpg,15.00,11.39
35.jpg,32.50,30.25
350.jpg,30.71,16.39
351.jpg,6.98,6.45
352.jpg,26.00,17.56
353.jpg,55.71,48.05
354.jpg,47.27,33.33
355.jpg,45.22,51.06
356.jpg,28.00,21.52
357.jpg,30.00,20.48
358.jpg,52.00,48.55
359.jpg,37.14,34.94
36.jpg,43.33,18.90
360.jpg,52.00,54.46
361.jpg,26.00,20.71
362.jpg,20.29,25.81
363.jpg,15.00,12.82
364.jpg,19.18,15.13
365.jpg,26.00,16.96
366.jpg,32.50,26.03
368.jpg,14.89,13.07
369.jpg,14.00,10.66
37.jpg,52.00,23.17
370.jpg,10.00,7.39
371.jpg,6.98,6.57
372.jpg,3.03,1.53
373.jpg,12.84,13.03
374.jpg,14.00,13.62
375.jpg,16.67,9.57
376.jpg,12.84,6.48
377.jpg,14.89,6.58
38.jpg,37.14,24.37
