image,predicted,true
0.jpg,28.64,23.19
1.jpg,21.54,17.43
10.jpg,45.83,45.92
100.jpg,67.57,53.16
101.jpg,90.00,73.97
102.jpg,83.08,65.36
103.jpg,69.17,76.82
104.jpg,98.18,91.67
105.jpg,63.06,69.23
106.jpg,66.67,65.33
107.jpg,81.03,71.05
108.jpg,84.85,82.95
109.jpg,90.32,78.20
11.jpg,48.10,30.85
110.jpg,83.08,78.81
111.jpg,78.87,76.06
112.jpg,77.78,56.40
113.jpg,83.16,66.08
114.jpg,28.57,41.80
115.jpg,70.15,50.00
116.jpg,32.61,37.10
117.jpg,53.57,31.55
118.jpg,24.83,30.46
119.jpg,43.12,34.94
12.jpg,54.87,46.05
120.jpg,32.58,27.91
121.jpg,27.62,25.15
122.jpg,51.94,35.35
123.jpg,78.00,70.72
124.jpg,68.22,53.63
125.jpg,68.29,62.05
126.jpg,71.09,52.21
127.jpg,63.53,43.33
128.jpg,77.68,58.94
129.jpg,49.09,36.06
13.jpg,42.78,34.64
130.jpg,46.05,34.58
131.jpg,71.43,70.43
132.jpg,38.46,35.65
133.jpg,22.73,23.53
134.jpg,22.73,25.17
135.jpg,32.20,31.78
136.jpg,27.14,35.77
137.jpg,15.15,16.26
138.jpg,15.73,20.45
139.jpg,28.00,23.55
14.jpg,43.12,39.53
140.jpg,70.75,57.96
141.jpg,84.00,66.48
142.jpg,76.14,67.52
143.jpg,87.80,61.81
144.jpg,72.00,58.06
145.jpg,63.53,50.00
146.jpg,43.20,51.89
147.jpg,46.41,44.40
148.jpg,72.00,70.41
149.jpg,40.00,36.18
15.jpg,84.29,46.04
150.jpg,54.12,43.96
151.jpg,52.29,37.04
152.jpg,30.53,38.73
153.jpg,22.50,34.33
154.jpg,31.84,33.61
155.jpg,32.61,31.97
156.jpg,27.78,32.63
157.jpg,39.81,51.16
158.jpg,57.38,57.14
159.jpg,60.00,57.34
16.jpg,70.15,46.40
160.jpg,72.26,66.03
161.jpg,28.90,26.19
162.jpg,77.14,61.60
163.jpg,71.43,87.27
164.jpg,17.54,14.63
165.jpg,18.18,24.00
166.jpg,14.89,15.79
167.jpg,9.68,8.79
168.jpg,16.18,13.92
169.jpg,8.63,7.25
17.jpg,46.53,33.06
170.jpg,33.19,28.17
171.jpg,26.32,26.15
172.jpg,27.03,19.54
173.jpg,37.27,28.77
174.jpg,22.73,26.13
175.jpg,23.41,13.33
176.jpg,32.23,21.40
177.jpg,35.63,31.93
178.jpg,29.56,28.21
179.jpg,26.25,21.80
18.jpg,77.14,79.76
180.jpg,28.37,25.90
181.jpg,43.12,27.01
182.jpg,20.67,15.98
183.jpg,18.88,18.04
184.jpg,23.73,16.95
185.jpg,28.00,11.69
186.jpg,87.21,78.45
187.jpg,27.03,19.35
188.jpg,42.93,30.32
189.jpg,22.22,26.77
19.jpg,85.07,75.32
190.jpg,15.00,32.38
191.jpg,36.25,33.12
192.jpg,58.16,45.54
193.jpg,15.15,26.17
194.jpg,46.41,25.47
195.jpg,45.89,21.50
196.jpg,57.25,26.61
197.jpg,56.30,28.81
198.jpg,57.38,52.59
199.jpg,38.46,20.74
2.jpg,70.91,70.97
20.jpg,70.53,59.63
200.jpg,16.48,17.19
201.jpg,29.17,23.73
202.jpg,20.00,13.93
203.jpg,38.46,23.38
204.jpg,90.18,70.97
205.jpg,93.63,70.21
206.jpg,25.80,17.63
207.jpg,58.06,36.00
208.jpg,71.33,73.78
209.jpg,88.89,82.39
21.jpg,41.32,24.39
210.jpg,69.41,42.61
211.jpg,57.40,48.33
212.jpg,46.41,48.15
213.jpg,83.16,63.50
214.jpg,67.50,58.28
215.jpg,37.43,24.84
216.jpg,25.00,18.90
217.jpg,38.46,30.41
218.jpg,29.47,26.61
219.jpg,53.70,36.00
22.jpg,74.03,52.05
220.jpg,33.90,45.24
221.jpg,54.05,45.63
222.jpg,21.74,23.08
223.jpg,94.44,85.35
224.jpg,93.68,81.86
225.jpg,95.24,80.61
226.jpg,91.89,75.74
227.jpg,79.51,73.60
228.jpg,84.85,39.81
229.jpg,45.10,21.84
23.jpg,14.29,12.99
230.jpg,63.06,46.10
231.jpg,73.75,49.12
232.jpg,61.47,44.38
233.jpg,58.59,44.76
234.jpg,63.53,49.68
235.jpg,57.38,60.80
236.jpg,35.20,31.76
237.jpg,30.59,29.00
238.jpg,58.79,45.28
239.jpg,52.98,37.65
24.jpg,28.64,38.19
240.jpg,27.03,15.00
241.jpg,37.43,21.95
242.jpg,71.33,56.82
243.jpg,86.25,70.55
244.jpg,89.47,61.61
245.jpg,34.84,20.85
246.jpg,52.98,34.21
247.jpg,67.88,42.08
248.jpg,40.70,34.40
249.jpg,37.43,37.68
25.jpg,46.67,46.43
250.jpg,37.43,28.79
251.jpg,30.17,36.24
252.jpg,30.00,36.43
253.jpg,74.56,46.79
254.jpg,72.73,45.84
255.jpg,58.64,44.72
256.jpg,75.24,55.84
257.jpg,60.51,72.87
258.jpg,85.71,73.47
259.jpg,63.06,40.16
26.jpg,30.46,28.05
260.jpg,34.88,38.82
261.jpg,84.59,73.17
262.jpg,16.42,16.83
263.jpg,9.68,14.74
264.jpg,11.54,14.15
265.jpg,10.45,15.83
266.jpg,11.11,12.84
267.jpg,12.86,16.98
268.jpg,26.67,18.52
269.jpg,38.81,23.86
27.jpg,32.97,33.33
270.jpg,15.00,15.12
271.jpg,18.00,11.58
272.jpg,35.00,29.11
273.jpg,46.40,26.05
274.jpg,46.21,33.33
275.jpg,37.43,27.78
276.jpg,14.14,10.22
277.jpg,5.76,7.24
278.jpg,6.96,5.38
279.jpg,18.67,14.29
28.jpg,65.55,61.29
280.jpg,22.99,16.82
281.jpg,29.47,21.37
282.jpg,21.36,25.00
283.jpg,10.00,6.82
284.jpg,22.73,28.35
