image,predicted,true
0.jpg,45.00,23.19
1.jpg,30.00,17.43
10.jpg,45.00,45.92
100.jpg,72.00,53.16
101.jpg,72.00,73.97
102.jpg,80.00,65.36
103.jpg,72.00,76.82
104.jpg,75.00,91.67
105.jpg,80.00,69.23
106.jpg,45.00,65.33
107.jpg,72.00,71.05
108.jpg,72.00,82.95
109.jpg,65.00,78.20
11.jpg,35.00,30.85
110.jpg,65.00,78.81
111.jpg,80.00,76.06
112.jpg,80.00,56.40
113.jpg,65.00,66.08
114.jpg,45.00,41.80
115.jpg,45.00,50.00
116.jpg,30.00,37.10
117.jpg,45.00,31.55
118.jpg,30.00,30.46
119.jpg,65.00,34.94
12.jpg,45.00,46.05
120.jpg,45.00,27.91
121.jpg,45.00,25.15
122.jpg,65.00,35.35
123.jpg,72.00,70.72
124.jpg,65.00,53.63
125.jpg,80.00,62.05
126.jpg,70.00,52.21
127.jpg,65.00,43.33
128.jpg,72.00,58.94
129.jpg,65.00,36.06
13.jpg,45.00,34.64
130.jpg,65.00,34.58
131.jpg,65.00,70.43
132.jpg,65.00,35.65
133.jpg,35.00,23.53
134.jpg,35.00,25.17
135.jpg,45.00,31.78
136.jpg,45.00,35.77
137.jpg,23.00,16.26
138.jpg,45.00,20.45
139.jpg,65.00,23.55
14.jpg,65.00,39.53
140.jpg,65.00,57.96
141.jpg,62.00,66.48
142.jpg,72.00,67.52
143.jpg,65.00,61.81
144.jpg,65.00,58.06
145.jpg,65.00,50.00
146.jpg,65.00,51.89
147.jpg,65.00,44.40
148.jpg,65.00,70.41
149.jpg,65.00,36.18
15.jpg,65.00,46.04
150.jpg,65.00,43.96
151.jpg,65.00,37.04
152.jpg,45.00,38.73
153.jpg,23.00,34.33
154.jpg,45.00,33.61
155.jpg,23.00,31.97
156.jpg,23.00,32.63
157.jpg,45.00,51.16
158.jpg,65.00,57.14
159.jpg,65.00,57.34
16.jpg,74.29,46.40
160.jpg,65.00,66.03
161.jpg,65.00,26.19
162.jpg,60.00,61.60
163.jpg,72.00,87.27
164.jpg,30.00,14.63
165.jpg,25.00,24.00
166.jpg,20.00,15.79
167.jpg,10.00,8.79
168.jpg,35.00,13.92
169.jpg,25.00,7.25
17.jpg,45.00,33.06
170.jpg,65.00,28.17
171.jpg,52.00,26.15
172.jpg,45.00,19.54
173.jpg,65.00,28.77
174.jpg,45.00,26.13
175.jpg,45.00,13.33
176.jpg,45.00,21.40
177.jpg,65.00,31.93
178.jpg,52.00,28.21
179.jpg,45.00,21.80
18.jpg,45.00,79.76
180.jpg,45.00,25.90
181.jpg,45.00,27.01
182.jpg,35.00,15.98
183.jpg,35.00,18.04
184.jpg,45.00,16.95
185.jpg,45.00,11.69
186.jpg,80.00,78.45
187.jpg,45.00,19.35
188.jpg,45.00,30.32
189.jpg,30.00,26.77
19.jpg,45.00,75.32
190.jpg,35.00,32.38
191.jpg,65.00,33.12
192.jpg,50.00,45.54
193.jpg,45.00,26.17
194.jpg,45.00,25.47
195.jpg,65.00,21.50
196.jpg,65.00,26.61
197.jpg,65.00,28.81
198.jpg,65.00,52.59
199.jpg,62.00,20.74
2.jpg,72.00,70.97
20.jpg,65.00,59.63
200.jpg,35.00,17.19
201.jpg,45.00,23.73
202.jpg,23.00,13.93
203.jpg,52.00,23.38
204.jpg,80.00,70.97
205.jpg,70.00,70.21
206.jpg,45.00,17.63
207.jpg,65.00,36.00
208.jpg,80.00,73.78
209.jpg,75.00,82.39
21.jpg,35.00,24.39
210.jpg,65.00,42.61
211.jpg,65.00,48.33
212.jpg,65.00,48.15
213.jpg,72.00,63.50
214.jpg,65.00,58.28
215.jpg,45.00,24.84
216.jpg,45.00,18.90
217.jpg,45.00,30.41
218.jpg,45.00,26.61
219.jpg,70.00,36.00
22.jpg,65.00,52.05
220.jpg,45.00,45.24
221.jpg,45.00,45.63
222.jpg,23.00,23.08
223.jpg,78.00,85.35
224.jpg,80.00,81.86
225.jpg,80.00,80.61
226.jpg,86.67,75.74
227.jpg,78.00,73.60
228.jpg,70.00,39.81
229.jpg,45.00,21.84
23.jpg,23.00,12.99
230.jpg,45.00,46.10
231.jpg,65.00,49.12
232.jpg,65.00,44.38
233.jpg,65.00,44.76
234.jpg,62.00,49.68
235.jpg,62.00,60.80
236.jpg,65.00,31.76
237.jpg,45.00,29.00
238.jpg,65.00,45.28
239.jpg,65.00,37.65
24.jpg,65.00,38.19
240.jpg,45.00,15.00
241.jpg,45.00,21.95
242.jpg,80.00,56.82
243.jpg,72.00,70.55
